Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,,,,,nan,nan,nan,
2023-03-31,263605600000.0,58277400000.0,65674700000.0,89495700000.0,26500000.0,235721500000.0,44407700000.0,672038000000.0,70485000000.0,88297200000.0,-17812200000.0,0.24722988781252453
2024-03-31,281619000000.0,76210500000.0,102569900000.0,116791100000.0,11000000.0,291381700000.0,42546900000.0,780951800000.0,64676500000.0,82228200000.0,-17551700000.0,0.26154868339363796
2025-03-31,301046900000.0,83641300000.0,108759400000.0,122386100000.0,11600000.0,349816100000.0,45485500000.0,1062668500000.0,118865400000.0,136434600000.0,-17569200000.0,0.2391007732348511
2026-03-31,317917400000.0,91156000000.0,121577200000.0,135249500000.0,109700000.0,410411200000.0,37676600000.0,1324145900000.0,83572300000.0,109063800000.0,-25491500000.0,0.22210894829380876
