Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,54604092000.0,14279253000.0,,,62986521000.0,109773437000.0,94781102000.0,902161184000.0,51877043000.0,54936398000.0,-3059355000.0,0.13007931053484278
2024-03-31,68556215000.0,15347190000.0,,,54793721000.0,125595315000.0,64412078000.0,1094256699000.0,22616524000.0,26080698000.0,-3464174000.0,0.12219556119589334
2025-03-31,105378926000.0,21059266000.0,,,116599024000.0,171662817000.0,95677984000.0,1578456662000.0,51980504000.0,54624118000.0,-2643614000.0,0.1226780870082075
2026-03-31,120906214000.0,26412543000.0,,,138715447000.0,199735220000.0,85234097000.0,1917974681000.0,10202778000.0,18288660000.0,-8085882000.0,0.13223778460303595
