Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,104787800000.0,39033100000.0,70356000000.0,82502700000.0,295398400000.0,369552900000.0,10341900000.0,852077000000.0,-2708500000.0,47046400000.0,-49754900000.0,0.1056224968062759
2024-03-31,92524800000.0,35959500000.0,70319900000.0,82161200000.0,327764400000.0,386685900000.0,14994000000.0,922648800000.0,2828200000.0,72521400000.0,-69693200000.0,0.09299408124268302
2025-03-31,103738500000.0,30066700000.0,78046600000.0,89977000000.0,418057900000.0,396681600000.0,7608500000.0,1026777100000.0,-38252300000.0,50261800000.0,-88514100000.0,0.07579554988181958
2026-03-31,111231500000.0,37657400000.0,61276900000.0,81035400000.0,546061700000.0,414371800000.0,18468300000.0,1200108900000.0,-82786600000.0,32936200000.0,-115722800000.0,0.09087828853218294
