Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,702452200000.0,191916600000.0,259583200000.0,277673300000.0,3063400000.0,691552600000.0,4633500000.0,858829800000.0,161345600000.0,188775500000.0,-27429900000.0,0.27751554979332016
2024-03-31,673910400000.0,204587800000.0,264393900000.0,282557800000.0,3037300000.0,745070000000.0,6258900000.0,918261600000.0,136163300000.0,171788600000.0,-35625300000.0,0.2745886963641
2025-03-31,746533200000.0,347466300000.0,269720000000.0,289225800000.0,2848400000.0,700300500000.0,6200000000.0,880906800000.0,153483400000.0,176270400000.0,-22787000000.0,0.4961674309814144
2026-03-31,782132800000.0,206894700000.0,281185600000.0,298290900000.0,23993600000.0,725073000000.0,6434600000.0,937923800000.0,162814200000.0,184643100000.0,-21828900000.0,0.2853432688846502
