Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,3428745900000.0,24142900000.0,136194100000.0,384797700000.0,1366134500000.0,453217900000.0,318869500000.0,3360813800000.0,172923300000.0,353880100000.0,-180956800000.0,0.053269961314414103
2024-03-31,4312120000000.0,313990000000.0,360230000000.0,632930000000.0,1098120000000.0,849180000000.0,400150000000.0,3706640000000.0,365010000000.0,679150000000.0,-314140000000.0,0.3697567064697708
2025-03-31,3634860000000.0,278300000000.0,323550000000.0,556110000000.0,740040000000.0,1161440000000.0,343490000000.0,3786420000000.0,250600000000.0,631020000000.0,-380420000000.0,0.23961633833861412
2026-03-31,3333830000000.0,823900000000.0,12040000000.0,214570000000.0,813950000000.0,1120680000000.0,228800000000.0,3819220000000.0,-232410000000.0,130410000000.0,-362820000000.0,0.7351786415390655
