Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,1454040000000.0,105740000000.0,261220000000.0,367190000000.0,666180000000.0,394230000000.0,69260000000.0,1953770000000.0,192780000000.0,330650000000.0,-137870000000.0,0.26821905993962913
2024-03-31,1417930000000.0,42390000000.0,287980000000.0,395420000000.0,727700000000.0,307220000000.0,28120000000.0,1908070000000.0,189020000000.0,356540000000.0,-167520000000.0,0.13797929822277197
2025-03-31,616050000000.0,149880000000.0,152050000000.0,263440000000.0,751850000000.0,382990000000.0,39930000000.0,2019740000000.0,225570000000.0,395620000000.0,-170050000000.0,0.39134181049113553
2026-03-31,766720000000.0,173910000000.0,196520000000.0,294590000000.0,278440000000.0,408310000000.0,13700000000.0,2332360000000.0,186230000000.0,394990000000.0,-208760000000.0,0.42592637946658174
