Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,44889500000.0,11035100000.0,11350400000.0,13672300000.0,9082500000.0,74095900000.0,13743300000.0,101018500000.0,9485200000.0,12841300000.0,-3356100000.0,0.14892996778499215
2024-03-31,53094800000.0,10576400000.0,14098800000.0,16548600000.0,12945600000.0,84081400000.0,9798400000.0,119999400000.0,3357200000.0,11216700000.0,-7859500000.0,0.12578762960654793
2025-03-31,69103600000.0,10758800000.0,15551200000.0,19145400000.0,30102900000.0,93808700000.0,6615800000.0,152144800000.0,4934800000.0,14379600000.0,-9444800000.0,0.11468872290096761
2026-03-31,82254300000.0,14424100000.0,18906200000.0,23371500000.0,34783600000.0,107466300000.0,6658000000.0,172309400000.0,1487900000.0,16333200000.0,-14845300000.0,0.13421975074976994
