Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,904876000000.0,113500000000.0,155481000000.0,188883000000.0,174666000000.0,781164000000.0,91880000000.0,1175822000000.0,115767000000.0,130601000000.0,-14834000000.0,0.14529599418303968
2024-03-31,897603000000.0,110452000000.0,155470000000.0,189541000000.0,164649000000.0,749883000000.0,96953000000.0,1152459000000.0,165706000000.0,176216000000.0,-10510000000.0,0.14729231093383902
2025-03-31,890884000000.0,131354000000.0,184204000000.0,213783000000.0,192035000000.0,828309000000.0,121974000000.0,1286520000000.0,154389000000.0,169426000000.0,-15037000000.0,0.15858091605910354
2026-03-31,926240000000.0,131974000000.0,181331000000.0,210438000000.0,202910000000.0,885368000000.0,105555000000.0,1419262000000.0,133713000000.0,149316000000.0,-15603000000.0,0.14906118133928492
