Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,106776300000.0,22584700000.0,,,315310900000.0,98300500000.0,10160400000.0,455455600000.0,-67639100000.0,-66705100000.0,-934000000.0,0.22975162893372872
2024-03-31,127512000000.0,24078800000.0,,,403147000000.0,120840300000.0,25084300000.0,581712300000.0,-57278700000.0,-56533800000.0,-744900000.0,0.1992613391393434
2025-03-31,142678500000.0,19164100000.0,,,451706800000.0,137817200000.0,25599100000.0,655458000000.0,-21962200000.0,-21404600000.0,-557600000.0,0.13905448666784698
2026-03-31,156269300000.0,21667100000.0,,,442302700000.0,157255000000.0,21330300000.0,663277900000.0,4593900000.0,4930300000.0,-336400000.0,0.13778321833963944
