Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,313279828000.0,3784860000.0,5273160000.0,,8307296000.0,35182386000.0,12259018000.0,1318237811000.0,97483546000.0,99222859000.0,-1739313000.0,0.10757826373685969
2024-03-31,464943825000.0,3401071000.0,4449921000.0,,8438522000.0,38659257000.0,16968250000.0,1627734686000.0,58815496000.0,61043620000.0,-2228124000.0,0.08797559146053945
2025-03-31,463960186000.0,3272281000.0,4833324000.0,,14421134000.0,52745179000.0,14537501000.0,1901796498000.0,81335224000.0,83516046000.0,-2180822000.0,0.062039433025717856
2026-03-31,475905134000.0,839895000.0,1566792000.0,,23487702000.0,52817861000.0,24027499000.0,1989355505000.0,112282604000.0,114726955000.0,-2444351000.0,0.015901723093254383
