Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,,,,,nan,nan,nan,
2023-03-31,471316461000.0,85116600000.0,,,293545947000.0,788035140000.0,1125988641000.0,12883571094000.0,29903000000.0,60558500000.0,-30655500000.0,0.10801117320732677
2024-03-31,551776884000.0,137971187000.0,,,269742680000.0,975976560000.0,1196458454000.0,14019959109000.0,182808900000.0,199296900000.0,-16488000000.0,0.1413673162396441
2025-03-31,593396844000.0,180269508000.0,,,649924182000.0,1138340782000.0,1311880225000.0,15113294233000.0,-220546400000.0,-203870500000.0,-16675900000.0,0.15836163550538596
2026-03-31,587878802000.0,194302105000.0,,,737978657000.0,1335512856000.0,960433572000.0,15875026931000.0,-390221300000.0,-357983500000.0,-32237800000.0,0.1454887567177414
