Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,55820500000.0,10025900000.0,15255000000.0,19415600000.0,31390100000.0,79819600000.0,7363900000.0,136687500000.0,11296500000.0,16189900000.0,-4893400000.0,0.1256069937709535
2024-03-31,65042100000.0,12590700000.0,18848000000.0,23391000000.0,27357900000.0,94566500000.0,4793400000.0,148558300000.0,12841800000.0,19351400000.0,-6509600000.0,0.1331412286591975
2025-03-31,80411800000.0,19075900000.0,27859000000.0,33040600000.0,30842700000.0,111607100000.0,2569100000.0,177039300000.0,10775200000.0,21943700000.0,-11168500000.0,0.17092012963332978
2026-03-31,93066800000.0,20843800000.0,31471300000.0,37522900000.0,28365500000.0,130522900000.0,4063300000.0,202969800000.0,14348300000.0,24714100000.0,-10365800000.0,0.15969458232999725
