Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,2416362500000.0,87604000000.0,245338200000.0,338752300000.0,848930500000.0,1030821000000.0,121299000000.0,2880217400000.0,75405900000.0,216830800000.0,-141424900000.0,0.08498468696310998
2024-03-31,2272962000000.0,-44374400000.0,63605300000.0,162488900000.0,870821200000.0,920357600000.0,70808400000.0,2734235000000.0,20940700000.0,203006700000.0,-182066000000.0,-0.04821430278839443
2025-03-31,2168403500000.0,34205100000.0,157538200000.0,261802100000.0,948010500000.0,911696300000.0,96049600000.0,2793948000000.0,74670600000.0,231375800000.0,-156705200000.0,0.03751808579238503
2026-03-31,2302934700000.0,107938700000.0,231357500000.0,350927600000.0,923816800000.0,1021676500000.0,88849500000.0,3012541100000.0,205054100000.0,350644600000.0,-145590500000.0,0.10564860794977667
