Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,663203900000.0,39740900000.0,58004000000.0,84913500000.0,130463100000.0,387065500000.0,41834200000.0,694418600000.0,8989300000.0,73474100000.0,-64484800000.0,0.10267228673183221
2024-03-31,419230000000.0,59384200000.0,75221100000.0,103438600000.0,164721400000.0,443160100000.0,32894500000.0,787151800000.0,-25087400000.0,60083500000.0,-85170900000.0,0.13400168471845728
2025-03-31,412827800000.0,28121300000.0,57509700000.0,85185200000.0,184060800000.0,471848800000.0,24762400000.0,858393700000.0,2168700000.0,108239600000.0,-106070900000.0,0.059598117023928004
2026-03-31,435614000000.0,33673800000.0,60096300000.0,91810800000.0,226095500000.0,508989100000.0,10438000000.0,977617700000.0,-23699200000.0,72042300000.0,-95741500000.0,0.0661581947432666
