Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,,,nan,nan,nan,nan,,nan,nan
2023-03-31,806390392000.0,17205724000.0,17832839000.0,,,130174821000.0,15912241000.0,3145991696000.0,285928447000.0,,-632015000.0,0.13217397856072335
2024-03-31,1309255600000.0,18937800000.0,19512400000.0,,,149085600000.0,47406300000.0,3982772500000.0,290074700000.0,,-1143900000.0,0.12702635264572837
2025-03-31,1154124500000.0,24133000000.0,25061100000.0,,,169853500000.0,17835800000.0,4570954300000.0,254404600000.0,,-1061900000.0,0.14208126414822184
2026-03-31,1104781600000.0,24703000000.0,25485900000.0,,,190860000000.0,31875600000.0,5000459100000.0,343376700000.0,,-1850000000.0,0.12942994865346327
