Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,67697200000.0,7571900000.0,11919600000.0,13201700000.0,11946900000.0,26103400000.0,2450400000.0,50362500000.0,1773700000.0,6564800000.0,-4791100000.0,0.29007332378157635
2024-03-31,59090200000.0,8359300000.0,12706500000.0,14140300000.0,13675500000.0,33056000000.0,2589800000.0,57372000000.0,8462600000.0,14060100000.0,-5597500000.0,0.25288298644724105
2025-03-31,73600600000.0,12094400000.0,18552400000.0,20367400000.0,13695600000.0,44132200000.0,5904300000.0,82980800000.0,14616100000.0,24675600000.0,-10059500000.0,0.27404933359315875
2026-03-31,96118700000.0,16775500000.0,24991900000.0,27500600000.0,18092500000.0,62772000000.0,4694400000.0,109185000000.0,-11182500000.0,6208700000.0,-17391200000.0,0.26724494997769704
