Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2021-12-31,nan,nan,nan,nan,4765700000.0,253537400000.0,113584900000.0,452045900000.0,nan,nan,nan,nan
2022-12-31,309828300000.0,19384600000.0,28960700000.0,41884100000.0,,,,,-53902400000.0,-8362000000.0,-45540400000.0,
2024-03-31,325297900000.0,35734000000.0,61724800000.0,78003800000.0,6990100000.0,414516800000.0,30071000000.0,651036800000.0,11633600000.0,56458200000.0,-44824600000.0,0.08620639742466409
2025-03-31,336540700000.0,43031000000.0,63196100000.0,86166500000.0,7885000000.0,535789200000.0,50433200000.0,811063600000.0,-64497000000.0,22373500000.0,-86870500000.0,0.08031330232113675
2026-03-31,399694000000.0,47281800000.0,35223800000.0,70927900000.0,8659300000.0,593473200000.0,8915900000.0,896066000000.0,-9828000000.0,53615300000.0,-63443300000.0,0.0796696464136881
