Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,283818000000.0,20400000000.0,44288000000.0,98698000000.0,191849000000.0,211095000000.0,224000000.0,465724000000.0,42822000000.0,79048000000.0,-36226000000.0,0.09663895402543879
2024-03-31,286006000000.0,60362000000.0,99344000000.0,160944000000.0,205310000000.0,270388000000.0,631000000.0,558676000000.0,26292000000.0,115821000000.0,-89529000000.0,0.22324215571696968
2025-03-31,301228000000.0,99317000000.0,149878000000.0,214777000000.0,211558000000.0,324983000000.0,1497000000.0,631702000000.0,128610000000.0,196450000000.0,-67840000000.0,0.30560675481486727
2026-03-31,324931000000.0,71449000000.0,114606000000.0,186809000000.0,211269000000.0,396456000000.0,473000000.0,713161000000.0,70582000000.0,156840000000.0,-86258000000.0,0.18021924248844765
