Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,6295101440000.0,367093340000.0,517811800000.0,776688670000.0,1767440370000.0,2845453780000.0,26436580000.0,6427737320000.0,351318490000.0,860621010000.0,-509302520000.0,0.12901047368268972
2024-03-31,5986442330000.0,491439260000.0,853716360000.0,1168865640000.0,1911952270000.0,3390688760000.0,26859490000.0,7419979230000.0,467277940000.0,988466050000.0,-521188110000.0,0.14493788571735497
2025-03-31,6089529140000.0,362256230000.0,646890410000.0,993818390000.0,2188805840000.0,3434404760000.0,16675860000.0,7587231020000.0,351813350000.0,908556050000.0,-556742700000.0,0.10547860701194696
2026-03-31,6052764580000.0,414243820000.0,783458970000.0,1156084410000.0,1742991330000.0,3717677950000.0,12782110000.0,7919051800000.0,587288590000.0,1127193410000.0,-539904820000.0,0.11142541811616577
