Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,58542900000.0,28490100000.0,32746800000.0,35343600000.0,19379200000.0,10991400000.0,3673100000.0,55233800000.0,3904000000.0,4910800000.0,-1006800000.0,2.592035591462416
2024-03-31,64025700000.0,6603500000.0,7651400000.0,9547400000.0,1502400000.0,39203100000.0,2495700000.0,71790200000.0,-1478300000.0,795300000.0,-2273600000.0,0.1684433118809482
2025-03-31,107633700000.0,20716300000.0,15523100000.0,18115000000.0,7401200000.0,61057200000.0,9010700000.0,129595900000.0,7213500000.0,10919600000.0,-3706100000.0,0.33929331839652
2026-03-31,165466500000.0,31633900000.0,26450100000.0,29634600000.0,9810900000.0,94635200000.0,6309700000.0,188688600000.0,6250800000.0,12020600000.0,-5769800000.0,0.33427202563105485
