Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,1355811552000.0,340366408000.0,,,1835094403000.0,2144977893000.0,1635673702000.0,19584904970000.0,-62388729000.0,-37711921000.0,-24676808000.0,0.15868061349758628
2024-03-31,1612101952000.0,442563735000.0,,,2009987053000.0,2561438346000.0,1901295868000.0,23640630275000.0,1536059319000.0,1572844783000.0,-36785464000.0,0.17277938221355885
2025-03-31,2047152637000.0,510291955000.0,,,2036497477000.0,3139059061000.0,2383044013000.0,26422414134000.0,1180352527000.0,1228052582000.0,-47700055000.0,0.162562075158101
2026-03-31,2234071181000.0,542077028000.0,,,2076173410000.0,3630604157000.0,2902489464000.0,29144979720000.0,635954240000.0,673254189000.0,-37299949000.0,0.1493076646637024
