Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,93697163000.0,7358186000.0,,,710169839000.0,407181757000.0,502655747000.0,3552041341000.0,-266078499000.0,-258162578000.0,-7915921000.0,0.01807101097606394
2024-03-31,139782765000.0,12852015000.0,,,788626097000.0,421551856000.0,634057001000.0,4063615459000.0,86638955000.0,96445510000.0,-9806555000.0,0.030487388009507423
2025-03-31,168299614000.0,24464926000.0,,,708674469000.0,478324161000.0,655842845000.0,4241159328000.0,56446650000.0,63863986000.0,-7417336000.0,0.05114716753770671
2026-03-31,184369556000.0,35117146000.0,,,654508192000.0,511584149000.0,662778605000.0,4702040797000.0,204777814000.0,212168547000.0,-7390733000.0,0.06864392899710425
