Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,1273896500000.0,24639800000.0,62412900000.0,86774300000.0,530126000000.0,330510100000.0,18823300000.0,1414878200000.0,29017400000.0,176264600000.0,-147247200000.0,0.07455082310646483
2024-03-31,963161500000.0,32407800000.0,86443700000.0,116865200000.0,653101500000.0,390760900000.0,23065500000.0,1607318500000.0,-120537200000.0,103121900000.0,-223659100000.0,0.08293511454191041
2025-03-31,977110800000.0,70990000000.0,153663400000.0,195776700000.0,914726000000.0,503139700000.0,31057800000.0,1981355400000.0,-253660400000.0,45131000000.0,-298791400000.0,0.14109401424693777
2026-03-31,1002670200000.0,93394700000.0,199175700000.0,260529100000.0,1066217900000.0,809259500000.0,62666700000.0,2616003500000.0,-310122100000.0,23569100000.0,-333691200000.0,0.11540760411215438
