Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,380230300000.0,107266400000.0,107148600000.0,140185400000.0,421805800000.0,298756600000.0,3492300000.0,858212700000.0,51868500000.0,84305300000.0,-32436800000.0,0.35904277930596346
2024-03-31,500510700000.0,208287900000.0,238709400000.0,278022700000.0,344310700000.0,431450300000.0,11362500000.0,923247700000.0,115677000000.0,141701500000.0,-26024500000.0,0.48276220922780677
2025-03-31,561318200000.0,129387700000.0,194321200000.0,237410000000.0,393562900000.0,563470900000.0,3059100000.0,1129175700000.0,99420700000.0,215011100000.0,-115590400000.0,0.22962623269453666
2026-03-31,541521600000.0,128343000000.0,184533200000.0,230178500000.0,545187700000.0,649368800000.0,8832500000.0,1422799200000.0,-28364400000.0,205136500000.0,-233500900000.0,0.19764269549137561
