Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,4334983300000.0,-69802300000.0,-79720300000.0,-34118800000.0,706710200000.0,322632700000.0,5184800000.0,1619210800000.0,-129130200000.0,-34663100000.0,-94467100000.0,-0.21635221724270354
2024-03-31,4319943900000.0,160146100000.0,229092500000.0,285056800000.0,666838200000.0,469213500000.0,2798500000.0,1827846800000.0,137806300000.0,238518700000.0,-100712400000.0,0.34130752844920276
2025-03-31,4319944700000.0,67357000000.0,121920500000.0,183461500000.0,705582200000.0,511442900000.0,1662200000.0,1947446400000.0,46534900000.0,142308800000.0,-95773900000.0,0.1316999414792932
2026-03-31,4362800600000.0,180468900000.0,267834600000.0,341309500000.0,559644300000.0,655561200000.0,1242900000.0,2030392400000.0,277791900000.0,361106800000.0,-83314900000.0,0.2752891720864505
