Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,102786258000.0,31647191000.0,,,258619785000.0,221224090000.0,313963714000.0,2680040566000.0,52759000.0,4893004000.0,-4840245000.0,0.14305490419239605
2024-03-31,121300739000.0,38804276000.0,,,223086197000.0,301053546000.0,311264775000.0,3178389465000.0,61032494000.0,64311712000.0,-3279218000.0,0.1288949308705369
2025-03-31,142478850000.0,41588458000.0,,,303458319000.0,345383240000.0,408405325000.0,3601519137000.0,80462648000.0,88009187000.0,-7546539000.0,0.12041249598561876
2026-03-31,162893302000.0,43453023000.0,,,307932571000.0,400430031000.0,346021829000.0,4020807986000.0,40408916000.0,43491055000.0,-3082139000.0,0.108515894503427
