Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,81123300000.0,4446300000.0,9212200000.0,14156400000.0,44641400000.0,25954900000.0,832300000.0,80815300000.0,914800000.0,5948800000.0,-5034000000.0,0.17130869315620556
2024-03-31,122053100000.0,14868000000.0,22399300000.0,29117700000.0,17529900000.0,40677400000.0,2945500000.0,71617500000.0,6120300000.0,13489800000.0,-7369500000.0,0.36551008668203966
2025-03-31,168737200000.0,15467200000.0,21683300000.0,30642400000.0,22371900000.0,54617400000.0,3384700000.0,94196400000.0,3927100000.0,16609000000.0,-12681900000.0,0.28319180334472166
2026-03-31,198501100000.0,17196500000.0,24048300000.0,37667500000.0,25612500000.0,69846800000.0,2813600000.0,117285800000.0,9047700000.0,26676200000.0,-17628500000.0,0.24620311882577298
