Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,23188046000.0,3047091000.0,4693951000.0,5382372000.0,5873286000.0,44276464000.0,3750221000.0,100126459000.0,15376339000.0,18764952000.0,-3388613000.0,0.06881965551720662
2024-03-31,37510069000.0,7832778000.0,11207910000.0,12011389000.0,5021996000.0,50033367000.0,3064130000.0,120422253000.0,-8054130000.0,-1715936000.0,-6338194000.0,0.15655108719746963
2025-03-31,48199588000.0,8273305000.0,11637460000.0,12669224000.0,5604070000.0,55792603000.0,3166712000.0,133992273000.0,-5419317000.0,-2842072000.0,-2577245000.0,0.1482867719937713
2026-03-31,50218695000.0,7167395000.0,10914103000.0,12212036000.0,16717533000.0,58727572000.0,1053870000.0,145306510000.0,-13852434000.0,-12340801000.0,-1511633000.0,0.12204480375929726
