Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,73941200000.0,20724000000.0,,,764514600000.0,185600900000.0,54036300000.0,1050847700000.0,-178086000000.0,-173953100000.0,-4132900000.0,0.11165894130901305
2024-03-31,81372900000.0,19326900000.0,,,931773700000.0,199332500000.0,39316800000.0,1237157900000.0,-187718500000.0,-184485500000.0,-3233000000.0,0.09695809765090992
2025-03-31,90654800000.0,22618700000.0,,,1082232600000.0,215294600000.0,48899500000.0,1441052600000.0,-160437700000.0,-156018800000.0,-4418900000.0,0.10505930014036581
2026-03-31,107556600000.0,28545300000.0,,,1147281200000.0,266386400000.0,56262800000.0,1586439400000.0,-131884500000.0,-127721800000.0,-4162700000.0,0.10715749752990393
