Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,41737851000.0,19045471000.0,23929357000.0,24326869000.0,39440859000.0,122101198000.0,1881466000.0,186257475000.0,-29848593000.0,-23830421000.0,-6018172000.0,0.1559810330444096
2024-03-31,44794837000.0,19266037000.0,26758457000.0,27233644000.0,24952193000.0,138444120000.0,2969580000.0,196334113000.0,21393924000.0,28164081000.0,-6770157000.0,0.13916110702281903
2025-03-31,52862745000.0,22255137000.0,32025863000.0,32910431000.0,33003879000.0,157048662000.0,2676702000.0,227420630000.0,14702674000.0,21625756000.0,-6923082000.0,0.1417085425407827
2026-03-31,60090613000.0,25074273000.0,35097265000.0,36405580000.0,28253942000.0,179216231000.0,1756782000.0,253284797000.0,7432485000.0,13798602000.0,-6366117000.0,0.13991072605471766
