Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,246171300000.0,19275000000.0,27414500000.0,39860300000.0,52862100000.0,268398500000.0,43962900000.0,398899900000.0,-3336500000.0,23867500000.0,-27204000000.0,0.07181485738556662
2024-03-31,287045000000.0,31729700000.0,46480800000.0,61399900000.0,66476300000.0,298428000000.0,33934800000.0,450715100000.0,-11269800000.0,24345200000.0,-35615000000.0,0.1063227981288619
2025-03-31,313781300000.0,34858800000.0,55066800000.0,70978800000.0,82628700000.0,326533200000.0,55689500000.0,497849700000.0,14050700000.0,39246200000.0,-25195500000.0,0.10675422897273538
2026-03-31,333847400000.0,35047500000.0,54641600000.0,72248100000.0,80728400000.0,378909700000.0,71914000000.0,585021500000.0,24217000000.0,55263700000.0,-31046700000.0,0.09249565265813992
