Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,114403500000.0,9841700000.0,13985200000.0,17089400000.0,13966800000.0,90452900000.0,2738000000.0,137566500000.0,14495900000.0,16825000000.0,-2329100000.0,0.10880469282908563
2024-03-31,124392400000.0,17957700000.0,21188400000.0,24181400000.0,14184100000.0,103120600000.0,4550700000.0,155749000000.0,16887800000.0,19480700000.0,-2592900000.0,0.1741427028159262
2025-03-31,128046200000.0,21654800000.0,26142700000.0,29714300000.0,13809000000.0,119848700000.0,3041400000.0,176911000000.0,12372200000.0,19128400000.0,-6756200000.0,0.18068447968146506
2026-03-31,145323400000.0,23018000000.0,29868600000.0,33689200000.0,20471600000.0,138201000000.0,2479100000.0,208729700000.0,13457700000.0,19630300000.0,-6172600000.0,0.1665545111829871
