Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,25767100000.0,17014300000.0,,,629073200000.0,154435600000.0,143200000.0,809692700000.0,-8529400000.0,-8506700000.0,-22700000.0,0.11017084143811401
2024-03-31,29764900000.0,21166900000.0,,,740033600000.0,166130000000.0,2505500000.0,934223400000.0,-102909200000.0,-102867400000.0,-41800000.0,0.12741166556311323
2025-03-31,35975500000.0,27091400000.0,,,1073049200000.0,179684900000.0,59600000.0,1284956500000.0,-314423400000.0,-314206000000.0,-217400000.0,0.15077171203590284
2026-03-31,34308000000.0,40343700000.0,,,1416875600000.0,219754700000.0,24500000.0,1668380500000.0,-339338000000.0,-339122200000.0,-215800000.0,0.1835851519899233
