Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,,,,,nan,nan,nan,
2023-03-31,263604079000.0,38379536000.0,,,623232251000.0,604329415000.0,846832788000.0,8260357498000.0,-76683353000.0,-70450426000.0,-6232927000.0,0.06350764177183069
2024-03-31,294491053000.0,65644637000.0,,,664602697000.0,705812546000.0,831229621000.0,9242803540000.0,-52874743000.0,-44369408000.0,-8505335000.0,0.09300576671812234
2025-03-31,315318916000.0,95482800000.0,,,938694557000.0,807257547000.0,1008371678000.0,10564250062000.0,178113976000.0,185344466000.0,-7230490000.0,0.11828046743550606
2026-03-31,325981955000.0,103062992000.0,,,1066258884000.0,899585454000.0,995893806000.0,11795515889000.0,38627492000.0,47528616000.0,-8901124000.0,0.11456720597440874
