Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,56819715000.0,20358252000.0,18666772000.0,20153099000.0,33339953000.0,376875344000.0,1655247000.0,539279908000.0,23115205000.0,23752640000.0,-637435000.0,0.05401852979801194
2024-03-31,62492095000.0,27271051000.0,24809815000.0,26289282000.0,48338600000.0,394308144000.0,7675310000.0,602623970000.0,24232871000.0,25388076000.0,-1155205000.0,0.06916177465510324
2025-03-31,79466005000.0,43676215000.0,26353165000.0,27859786000.0,41027332000.0,425502201000.0,3138063000.0,694753744000.0,51392062000.0,52352225000.0,-960163000.0,0.10264627279801074
2026-03-31,78376577000.0,44146750000.0,31152918000.0,32577043000.0,3058932000.0,454733699000.0,2991145000.0,748747730000.0,62181902000.0,63473849000.0,-1291947000.0,0.09708264440722701
