Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-12-31,129210520000.0,14974330000.0,22073300000.0,28245190000.0,38838140000.0,51023800000.0,1543320000.0,116182430000.0,-109630000.0,17900290000.0,-18009920000.0,0.29347735762526506
2023-12-31,156217420000.0,20559220000.0,30060040000.0,36869100000.0,54313100000.0,69364980000.0,2422120000.0,151871830000.0,-8732710000.0,23907780000.0,-32640490000.0,0.29639192572390277
2024-12-31,194450460000.0,25946330000.0,38816310000.0,48290170000.0,28262540000.0,166098290000.0,2607810000.0,231439100000.0,-3979130000.0,33810970000.0,-37790100000.0,0.15621069909870836
2025-12-31,208346040000.0,30364890000.0,41780430000.0,53945060000.0,25081830000.0,195787040000.0,17841770000.0,255651560000.0,7702100000.0,35093140000.0,-27391040000.0,0.1550914197385077
