Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2021-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-31,84984100000.0,10162300000.0,13740700000.0,14787700000.0,330900000.0,49394100000.0,31468600000.0,93182300000.0,5739800000.0,7419400000.0,-1679600000.0,0.20573914698314172
2023-12-31,103666800000.0,12420500000.0,16711600000.0,17910800000.0,489800000.0,59446000000.0,8768800000.0,110011900000.0,11684000000.0,13514800000.0,-1830800000.0,0.20893752313023584
2024-12-31,120876700000.0,18716400000.0,25286600000.0,26575800000.0,518800000.0,70754000000.0,9356300000.0,123913300000.0,11178500000.0,13318000000.0,-2139500000.0,0.2645278005483789
2025-12-31,130653200000.0,16682600000.0,22493300000.0,23948600000.0,848200000.0,78359900000.0,15525700000.0,136384800000.0,9795600000.0,12195100000.0,-2399500000.0,0.2128971578575266
