Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,24792393000.0,3521749000.0,4849497000.0,5622076000.0,52075000.0,32114977000.0,10528837000.0,86724314000.0,20219947000.0,21302518000.0,-1082571000.0,0.1096606421359106
2024-03-31,23588650000.0,6127206000.0,8299502000.0,8969894000.0,37411000.0,36368233000.0,5938420000.0,103400507000.0,3308289000.0,4117186000.0,-808897000.0,0.1684768682602754
2025-03-31,33230729000.0,5496452000.0,7520717000.0,8227678000.0,21150000.0,40089508000.0,1338568000.0,117424843000.0,-1153522000.0,1673892000.0,-2827414000.0,0.137104501257536
2026-03-31,24153596000.0,4203376000.0,5712074000.0,6471360000.0,3152000.0,42409693000.0,8633149000.0,142614989000.0,3752529000.0,6040017000.0,-2287488000.0,0.09911356821187081
