Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,,,,
2023-03-31,169309900000.0,60110400000.0,,,1286886100000.0,435128600000.0,104903600000.0,2105726900000.0,-178218400000.0,-176252500000.0,-1965900000.0,0.1381439877774065
2024-03-31,190834000000.0,73663800000.0,,,1517661000000.0,489471200000.0,62602300000.0,2482663100000.0,-313638700000.0,-311182700000.0,-2456000000.0,0.150496699295076
2025-03-31,219872600000.0,95538200000.0,,,1788397000000.0,564698200000.0,197839100000.0,2939975700000.0,-439064900000.0,-436519000000.0,-2545900000.0,0.16918453078122084
2026-03-31,250342700000.0,100241600000.0,,,1819935600000.0,659185900000.0,61850800000.0,3213745200000.0,-134776700000.0,-132814300000.0,-1962400000.0,0.15206878666549148
