Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,96890000000.0,13020000000.0,17750000000.0,19300000000.0,6080000000.0,37990000000.0,2070000000.0,69460000000.0,12370000000.0,14190000000.0,-1820000000.0,0.3427217688865491
2024-03-31,95730000000.0,14810000000.0,19850000000.0,21430000000.0,5280000000.0,38320000000.0,2280000000.0,74210000000.0,12340000000.0,13870000000.0,-1530000000.0,0.38648225469728603
2025-03-31,107330000000.0,16290000000.0,21510000000.0,23290000000.0,5540000000.0,39750000000.0,3200000000.0,83320000000.0,12020000000.0,13630000000.0,-1610000000.0,0.409811320754717
2026-03-31,135480000000.0,17620000000.0,23150000000.0,25170000000.0,5570000000.0,42100000000.0,4040000000.0,100750000000.0,17650000000.0,20840000000.0,-3190000000.0,0.41852731591448933
