Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,51826000000.0,48505200000.0,,,927900000.0,441827800000.0,258300000.0,531881000000.0,17256500000.0,17276500000.0,-20000000.0,0.10978304217163339
2024-03-31,76653300000.0,72672100000.0,,,625700000.0,542475100000.0,397800000.0,651610800000.0,19408100000.0,19411200000.0,-3100000.0,0.1339639367779277
2025-03-31,68753000000.0,65206700000.0,,,309900000.0,626875500000.0,829300000.0,752655900000.0,-19575400000.0,-19567600000.0,-7800000.0,0.10401858104200915
2026-03-31,87291800000.0,96367500000.0,,,96200000.0,731505800000.0,118200000.0,851874100000.0,47803100000.0,47803300000.0,-200000.0,0.13173853166987876
