Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,68532490000.0,4773460000.0,6660540000.0,7231330000.0,1618270000.0,25891840000.0,4798860000.0,37701520000.0,4159690000.0,5139070000.0,-979380000.0,0.184361559472019
2024-03-31,80379490000.0,5807440000.0,8119630000.0,8733180000.0,1662290000.0,31482640000.0,6650430000.0,46564550000.0,2100120000.0,6105030000.0,-4004910000.0,0.18446483522347554
2025-03-31,97358770000.0,6964140000.0,9926180000.0,10627580000.0,2172080000.0,57857500000.0,5277830000.0,72346030000.0,-7298760000.0,-322130000.0,-6976630000.0,0.12036710884500713
2026-03-31,117477650000.0,9184330000.0,12964320000.0,13875970000.0,2530240000.0,66649480000.0,14440390000.0,89559780000.0,-4136230000.0,8399540000.0,-12535770000.0,0.13780047496244532
