Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,224731800000.0,28019100000.0,41329100000.0,51521000000.0,8031200000.0,234077800000.0,6276300000.0,294632800000.0,20547600000.0,32376500000.0,-11828900000.0,0.11969994591541787
2024-03-31,254466300000.0,41215500000.0,57730300000.0,68240500000.0,5594100000.0,267064300000.0,6400700000.0,327178200000.0,27846100000.0,41339100000.0,-13493000000.0,0.15432800265703803
2025-03-31,271454000000.0,52725200000.0,68648300000.0,78602800000.0,4381900000.0,311934500000.0,5886900000.0,373870400000.0,34567800000.0,50049800000.0,-15482000000.0,0.1690265103731713
2026-03-31,277116900000.0,38792300000.0,52718600000.0,63554800000.0,6137700000.0,344319500000.0,10182200000.0,424959800000.0,8607100000.0,39400200000.0,-30793100000.0,0.1126636742908839
