Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023-03-31,68946000000.0,9626700000.0,10183400000.0,11128400000.0,165500000.0,17905100000.0,6817800000.0,46689500000.0,8614000000.0,9468600000.0,-854600000.0,0.5376512837124618
2024-03-31,79557500000.0,14270100000.0,11609200000.0,12558100000.0,175600000.0,30174400000.0,1998400000.0,56257400000.0,7935200000.0,10277900000.0,-2342700000.0,0.4729207540166499
2025-03-31,98147200000.0,9746000000.0,13550600000.0,14669000000.0,410900000.0,38439500000.0,4095100000.0,74170700000.0,4887800000.0,9161000000.0,-4273200000.0,0.25354127915295466
2026-03-31,122796800000.0,12062700000.0,16384000000.0,18339900000.0,1185100000.0,79704800000.0,3006600000.0,126676100000.0,-753100000.0,7024500000.0,-7777600000.0,0.15134220272806656
