Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,221363000000.0,6374400000.0,12365500000.0,14968900000.0,54535100000.0,243782600000.0,14491100000.0,569200200000.0,-9291000000.0,-7407000000.0,-1884000000.0,0.026147887503045746
2024-03-31,229205200000.0,2822200000.0,9739100000.0,12228100000.0,88564600000.0,244386500000.0,17188600000.0,590019200000.0,-39454000000.0,-37129000000.0,-2325000000.0,0.011548101061228833
2025-03-31,273551700000.0,5339000000.0,14938600000.0,17658200000.0,90146000000.0,247221800000.0,3903200000.0,680831800000.0,18881000000.0,21924700000.0,-3043700000.0,0.021595991939222188
2026-03-31,323598300000.0,16002600000.0,28943400000.0,32102100000.0,81869500000.0,261466100000.0,10832000000.0,761856100000.0,52483400000.0,58373800000.0,-5890400000.0,0.06120334529026899
