Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,,,,,nan,nan,nan,nan,,,,
2024-03-31,,,,,nan,nan,nan,nan,,,,
2025-03-31,64926820000.0,2955890000.0,5312460000.0,13278150000.0,25727730000.0,60987340000.0,6542190000.0,104710190000.0,nan,nan,nan,0.04846727206007017
2026-03-31,87898620000.0,4936140000.0,8587840000.0,19071680000.0,30965960000.0,87385110000.0,9732980000.0,144133240000.0,8411260000.0,16695930000.0,-8284670000.0,0.05648719787615991
