Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2023-03-31,1190403800000.0,102815000000.0,197597200000.0,240884200000.0,922468500000.0,563657900000.0,34934100000.0,2058917700000.0,-133785900000.0,-70740200000.0,-63045700000.0,0.1824067399747258
2024-03-31,1358030300000.0,112686400000.0,233117800000.0,278480400000.0,1066255200000.0,661905500000.0,45301000000.0,2363007300000.0,-155759400000.0,-56299500000.0,-99459900000.0,0.17024545044572073
2025-03-31,1556452600000.0,129291000000.0,279334100000.0,334915900000.0,1249493100000.0,770388600000.0,49238900000.0,2775862700000.0,-72161400000.0,31758100000.0,-103919500000.0,0.1678256921247277
2026-03-31,1930979500000.0,170988500000.0,345386200000.0,412284200000.0,1339631500000.0,930963500000.0,42922400000.0,3176346400000.0,20519100000.0,116573600000.0,-96054500000.0,0.18366831782341628
