Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,nan,nan,nan,nan,,,,,nan,nan,nan,
2023-03-31,595490000000.0,101200000000.0,134580000000.0,146100000000.0,12190000000.0,503040000000.0,7140000000.0,730870000000.0,87990000000.0,99910000000.0,-11920000000.0,0.201176844783715
2024-03-31,609660000000.0,102770000000.0,142600000000.0,154760000000.0,14840000000.0,512180000000.0,8250000000.0,784990000000.0,139920000000.0,154690000000.0,-14770000000.0,0.20065211449099926
2025-03-31,605730000000.0,106490000000.0,148090000000.0,161720000000.0,16480000000.0,494020000000.0,60710000000.0,798800000000.0,106110000000.0,118860000000.0,-12750000000.0,0.21555807457187967
2026-03-31,637630000000.0,150400000000.0,142220000000.0,156580000000.0,14780000000.0,487380000000.0,25830000000.0,797520000000.0,96380000000.0,109990000000.0,-13610000000.0,0.30858878082810126
