Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,,,,,nan,nan,nan,
2023-03-31,77101620000.0,36122980000.0,,,555061320000.0,216657520000.0,80737890000.0,801489200000.0,-29452100000.0,-28040670000.0,-1411430000.0,0.16672848466095247
2024-03-31,96564040000.0,43242880000.0,,,677418380000.0,251072070000.0,63889980000.0,964699400000.0,-138279090000.0,-136054850000.0,-2224240000.0,0.1722329369411739
2025-03-31,128527840000.0,53329000000.0,,,988152640000.0,293666270000.0,84856590000.0,1328595910000.0,-267418900000.0,-265248900000.0,-2170000000.0,0.18159729409850167
2026-03-31,202649320000.0,105903370000.0,,,1510358220000.0,391303150000.0,130206860000.0,1957539940000.0,-475453870000.0,-473926530000.0,-1527340000.0,0.2706427740231583
