Year,Total Revenue,Net Income,EBIT,EBITDA,Total Debt,Stockholders Equity,Cash And Cash Equivalents,Total Assets,Free Cash Flow,Operating Cash Flow,Capital Expenditure,ROE
2022-03-31,,,,,nan,nan,nan,nan,nan,nan,nan,
2023-03-31,51878636000.0,10471465000.0,14145865000.0,15893902000.0,689615000.0,17163843000.0,8060568000.0,28829893000.0,11061738000.0,11762632000.0,-700894000.0,0.6100886031176118
2024-03-31,56441800000.0,13236600000.0,17863300000.0,19578400000.0,717500000.0,18743600000.0,8889900000.0,31965300000.0,11234000000.0,11989600000.0,-755600000.0,0.7061930472267868
2025-03-31,59992000000.0,14368100000.0,19341600000.0,20969000000.0,608400000.0,16644700000.0,6681000000.0,30185500000.0,13230400000.0,13944600000.0,-714200000.0,0.8632237288746568
2026-03-31,59835700000.0,13253100000.0,17877500000.0,19338100000.0,474100000.0,15841100000.0,14260400000.0,34082200000.0,17298400000.0,18063000000.0,-764600000.0,0.8366275069281804
